1.479752922838361018e-01,3.336120406269330596e-01,2.906814064873196601e-01,5.667662902035908168e-02,9.738316710211889493e-01,5.914409365970922927e-01,1.178049154531346510e-03,3.610592421156856302e-01
4.967564924776846080e-02,1.512374996281267148e-01,7.341019987724368701e-01,5.286409928395359170e-01,7.498901074323804927e-02,4.071376184819984756e-01,7.794863793461918045e-01,9.025142521133059370e-01
5.573341963674067756e-01,6.931071222458861092e-01,7.524150790329187100e-01,2.867637354552519113e-01,6.365216740384550542e-01,2.381897757054388665e-01,9.039322261589932683e-01,8.888771438325626661e-02
4.716362132689102538e-01,9.924352613415727831e-01,6.836185923172296564e-01,6.458353681100714727e-02,8.682754039986460004e-01,5.537003002113931593e-01,1.716264954410742227e-01,8.441204114223884725e-01
7.182411281047369478e-01,7.581519224526667156e-01,1.214265988229115134e-01,2.980028520441911910e-01,9.219578897490049441e-01,5.463312638969647361e-01,4.774374259888793937e-01,7.721051826561169396e-01
3.756059256783713662e-01,6.240164785366549838e-01,4.227225018762875708e-01,3.098705777125453364e-01,4.695404402436165192e-01,3.556896136953882070e-01,6.245297749289594469e-01,3.889230889675957537e-01
8.385046103599744782e-01,8.798240151274427934e-01,2.730066605021008730e-01,6.662945066705465713e-01,8.942405223382032808e-01,3.505216730418282411e-01,1.263272711457661401e-01,4.097087429797471314e-01
3.785002522736780062e-01,1.879849670862835387e-01,5.287376035328672508e-01,6.069298966753698954e-01,2.344579767418941696e-02,6.725949381785962800e-01,3.709113585927761303e-01,6.837938690129521380e-01
5.946136582251678737e-01,1.479136329569814556e-01,5.902133892124583614e-02,9.982765509819281347e-01,7.670686198069278650e-01,7.737971742353185745e-01,9.488601101763367573e-01,6.563698114472610312e-01
3.513752937395997478e-02,3.168124836225038043e-01,6.447484535486422974e-01,9.631512750873272299e-01,3.370385379131946024e-02,3.527039114331202985e-01,7.804113264500447400e-01,6.028035972255106900e-01
6.442673043480251494e-01,6.093738834411601690e-01,2.939445061969871986e-01,1.305340815593976078e-01,4.694813108704953830e-01,1.770967085169971034e-01,7.354276162200974465e-01,7.113664731188961143e-01
9.350417603334579830e-01,9.457725313157964164e-01,5.963489754388970887e-01,6.125423501335283127e-01,1.720230438913137316e-01,2.850975436016522924e-02,1.217660676857013069e-01,8.429972725918855048e-02
5.604168060856046241e-01,7.272490437770420257e-01,9.315218209663236326e-01,9.070712637344704454e-01,4.412061182260332837e-01,4.481939067752230832e-01,8.469796705017129668e-01,7.382084937076999198e-01
2.452860756785779639e-02,8.872044869265544031e-01,6.986415380715426116e-01,8.082499276313592773e-02,6.954221013566221909e-01,6.773744752517351086e-01,3.001796676821489873e-01,7.639975805889258620e-01
9.754425285296245418e-01,7.369799413555877532e-02,6.919361802973273967e-01,5.794181454648322793e-01,6.583470086124523224e-01,3.732135580847100176e-01,3.551476904623133146e-01,1.008280223349514726e-01
5.996674527949142908e-01,8.107757576197330840e-01,1.834330143630991117e-02,8.733316057559393775e-01,7.249370566545977335e-01,9.110959890406208350e-01,2.003950666282355852e-01,2.101162877780223814e-01
