6.067921996535243778e-01,4.069608341012166397e-01,1.945537669106878198e-03,3.932547852127223909e-01
1.954808627731097204e-01,5.682716410176215094e-01,8.624480362613606843e-01,2.907911730677137374e-01
7.067867233162741236e-01,8.400157937934391583e-01,7.738527992840285030e-01,4.324853097723795337e-01
5.411558576196503489e-01,4.653256016361269065e-01,3.731646011003323382e-01,5.074214621610151355e-02
3.510533179511377000e-01,3.638808298088304083e-01,3.252500767434589601e-01,8.707728239372442003e-01
9.006373495802688645e-03,5.178023474987827335e-01,7.144564132659575462e-01,1.161332613245091849e-02
7.817006882919429467e-01,7.450564119061905410e-01,6.943054019024003098e-01,9.820283693566556060e-01
1.842077617760972119e-01,9.102180700206039532e-01,5.118779607615261407e-01,9.847849562613971708e-01
7.044657156802156539e-01,5.764670317313442816e-01,5.928679254316092662e-01,1.716289961775835371e-01
3.507877192784862874e-01,5.619951758576750001e-01,5.973945588281454055e-01,4.113596873146496691e-03
5.803309696807874563e-01,7.930733366123802197e-01,6.982907063462728825e-02,9.316575162080092953e-01
2.878327398637684498e-01,3.292497374162662860e-01,3.749102983658072485e-01,6.873611113749072965e-01
5.480481098504965676e-01,9.523269607421813721e-02,6.131045665592563809e-01,8.714074540569194394e-01
5.569950873380485890e-01,4.882289901150905775e-01,3.413101153286637324e-01,8.760253172529396393e-01
9.986048030756342619e-01,6.591868172544464999e-01,5.335513951891101003e-01,6.260056259410512469e-01
2.489645184795663546e-03,7.606372301701579408e-01,6.471134800467175374e-01,3.113464527400698900e-01
